"lrc_zone","yr","h1_ha","h2_ha","h3_ha","h4_ha","h5_ha","h6_ha","h7_ha","h8_ha","h9_ha","h10_ha","h11_ha","h12_ha","h13_ha","h14_ha"
1,"2000","16.196","19.843","12.480","","","","403.617","31.786","","","","0.445","",""
1,"2001","11.778","24.364","13.731","","","","789.689","0.664","","0.714","","","",""
1,"2002","8.832","22.759","12.480","","","","926.593","4.066","","","","","",""
1,"2003","11.778","22.759","12.480","","","","566.209","20.738","","14.548","","","",""
1,"2004","11.778","22.759","12.480","","","","422.082","","","26.686","","","",""
1,"2005","11.778","27.502","13.731","","","","578.389","23.783","","22.365","","1.069","",""
1,"2006","11.778","15.159","12.480","","","","614.679","","","15.025","","0.062","",""
1,"2007","11.778","7.872","7.485","","","","506.932","4.321","","14.266","","","",""
1,"2008","16.196","22.759","12.480","","","","491.069","59.223","","3.332","","2.320","",""
1,"2009","16.196","24.364","13.731","","","","337.192","49.153","","12.744","","","",""
1,"2010","17.670","27.318","14.983","","","0.042","272.941","41.543","","27.190","","5.579","",""
1,"2011","16.196","24.364","13.731","","","6.499","191.580","34.812","","36.332","","5.036","",""
1,"2012","8.832","22.759","12.480","","","","408.045","1.740","","8.113","","3.932","",""
1,"2013","11.778","22.759","12.480","","","","772.081","2.437","","34.214","","","",""
1,"2014","14.722","22.759","12.480","","","","1.931","6.141","","","","","",""
1,"2015","14.722","22.759","12.480","","","","171.278","40.876","","6.243","","","",""
1,"2016","14.722","22.759","12.480","","","7.355","190.099","71.799","","21.872","","5.248","",""
2,"2000","11.871","12.672","12.496","","","9.462","74.202","114.404","","6.284","","44.532","",""
2,"2001","8.633","11.306","13.308","","","6.198","84.546","3.644","","4.640","","6.400","",""
2,"2002","6.473","8.322","6.817","","","4.053","74.408","5.785","","4.426","","10.568","",""
2,"2003","8.633","9.910","11.717","","","8.683","61.642","11.398","","3.033","","7.949","",""
2,"2004","8.633","11.744","11.032","","","8.445","31.985","8.050","","6.493","","6.338","",""
2,"2005","8.633","12.337","14.002","","","5.608","28.206","11.978","","1.384","","5.820","",""
2,"2006","8.633","8.083","7.230","","","10.193","34.376","10.723","","1.893","","21.293","",""
2,"2007","8.633","8.666","7.160","","","31.548","29.377","13.953","","0.944","","26.093","",""
2,"2008","11.871","12.890","12.067","","","11.934","27.413","11.995","","1.849","","19.750","",""
2,"2009","11.871","11.537","14.472","","","33.699","13.326","53.456","","6.833","","61.329","",""
2,"2010","12.952","11.410","14.364","","","15.449","25.163","96.786","","5.332","","72.699","",""
2,"2011","11.871","12.645","14.472","","","6.639","16.834","119.445","","23.538","","107.645","",""
2,"2012","6.473","9.302","10.824","","","5.046","59.209","594.727","","49.176","","52.654","",""
2,"2013","8.633","9.845","10.836","","","8.828","34.187","39.733","","1.777","","12.686","",""
2,"2014","10.791","9.507","11.968","","","4.243","2.930","13.280","","1.588","","15.872","",""
2,"2015","10.791","9.507","11.968","","","1.773","6.516","126.498","","19.959","","17.978","",""
2,"2016","10.791","9.507","11.770","","","6.295","3.951","134.927","","32.697","","139.473","",""
3,"2000","","","","","","","","","","","","557.862","",""
3,"2001","","","","","","","","","","","","473.264","",""
3,"2002","","","","","","","","","","","","495.034","",""
3,"2003","","","","","","","","","","","","552.527","",""
3,"2004","","","","","","","","","","","","426.165","",""
3,"2005","","","","","","","","","","","","485.696","",""
3,"2006","","","","","","","","","","0.411","","506.189","",""
3,"2007","","","","","","","2.255","","","7.574","","569.469","",""
3,"2008","","","","","","","","","","3.165","","464.922","",""
3,"2009","","","","","","","","","","","","311.662","",""
3,"2010","","","","","","","","","","","","633.380","",""
3,"2011","","","","","","","0.139","","","0.431","","493.187","",""
3,"2012","","","","","","","5.143","","","7.833","","496.328","",""
3,"2013","","","","","","","","","","0.309","","525.933","",""
3,"2014","","","","","","","","","","","","572.709","",""
3,"2015","","","","","","","","","","7.262","","472.304","",""
3,"2016","","","","","","","","","","","","520.946","",""
4,"2000","17.506","17.594","17.692","","","11.852","1.668","8.886","","13.940","","348.775","93.620",""
4,"2001","12.731","15.007","17.868","","","10.051","1.865","4.678","","21.131","","336.859","57.497",""
4,"2002","9.549","9.598","9.176","","","10.714","1.406","2.476","","13.339","","4.195","567.406",""
4,"2003","12.731","11.410","17.563","","","9.300","6.824","5.448","","11.936","","","72.188",""
4,"2004","12.731","14.515","18.030","","","6.092","1.525","10.289","","2.865","","","33.810",""
4,"2005","12.731","14.501","18.532","","","8.887","2.919","9.565","","0.001","","5.683","",""
4,"2006","12.731","10.097","9.013","","","27.931","0.033","13.597","","6.903","","34.377","22.537",""
4,"2007","12.731","12.492","12.401","","","5.455","1.589","4.634","","6.846","","1.051","",""
4,"2008","17.506","17.594","17.069","","","5.791","3.410","5.114","","7.219","","13.315","",""
4,"2009","17.506","18.174","18.320","","","17.504","10.928","16.255","","5.367","","52.837","",""
4,"2010","19.097","19.193","18.037","","","17.297","16.012","19.492","","22.261","","172.594","",""
4,"2011","17.506","17.594","17.069","","","19.167","17.128","37.210","","24.299","","193.263","11.289",""
4,"2012","9.549","12.188","15.032","","","28.489","14.780","200.480","","40.554","","215.348","184.792",""
4,"2013","12.731","13.444","16.075","","","3.087","0.320","4.945","","12.171","","227.598","62.559",""
4,"2014","15.914","15.996","15.032","","","13.085","0.039","7.678","","12.510","","","115.311",""
4,"2015","15.914","15.996","15.032","","","14.578","2.697","33.273","","31.382","","58.741","16.902",""
4,"2016","15.914","15.996","15.032","","","17.742","2.704","72.636","","43.096","","195.797","41.318",""
5,"2000","17.284","35.873","","","","","","","","","","1733.568","",""
5,"2001","12.570","35.873","","","","","","","","","","1407.634","",""
5,"2002","9.428","35.873","","","","","","","","","","1022.888","",""
5,"2003","12.570","35.873","","","","","","","","","","744.720","",""
5,"2004","12.570","35.873","","","","","","","","","","631.429","",""
5,"2005","12.570","35.873","","","","","","","","","","1197.206","",""
5,"2006","12.570","35.873","","","","","","","","","","672.547","",""
5,"2007","12.570","43.046","","","","","","","","","","931.364","",""
5,"2008","17.284","35.873","","","","","","","","","","675.923","",""
5,"2009","17.284","43.046","","","","","","","","","","497.951","",""
5,"2010","18.855","43.046","","","","","","","","","","2005.689","",""
5,"2011","17.284","43.046","","","","","","","","","","2227.362","",""
5,"2012","9.428","35.873","","","","","","","","","","2180.122","",""
5,"2013","12.570","35.873","","","","","","","","","","1615.211","",""
5,"2014","15.713","35.873","","","","","","","","","","1459.972","",""
5,"2015","15.713","35.873","","","","","","","","","","1517.073","",""
5,"2016","15.713","","","","","","","","","","","1942.603","",""
6,"2000","","","","","","","","","","4465.791","","","",""
6,"2001","","","","","","","","","","2161.849","","","",""
6,"2002","","","","","","","","0.146","","34.109","","","",""
6,"2003","","","","","","","","","","25.578","","","",""
6,"2004","","","","","","","","","","391.605","","","",""
6,"2005","","","","","","","","","","1662.313","","","",""
6,"2006","","","","","","","","10.065","","118.856","","","",""
6,"2007","","","","","","","","5.050","","31.771","","","",""
6,"2008","","","","","","","","","","85.284","","","",""
6,"2009","","","","","","","","","","1652.659","","","",""
6,"2010","","","","","","","","","","3327.398","","","",""
6,"2011","","","","","","","","9.477","","3172.411","","","",""
6,"2012","","","","","","","","","","3597.887","","","",""
6,"2013","","","","","","","","","","1988.499","","","",""
6,"2014","","","","","","","","","","29.568","","","",""
6,"2015","","","","","","","","","","520.817","","","",""
6,"2016","","","","","","","","","","4424.325","","","",""
7,"2000","7.398","","","","","25.459","0.692","","","25.761","","6715.013","",""
7,"2001","5.381","","","","","","","2.682","","17.935","","2454.591","",""
7,"2002","4.035","","","","","7.853","2.197","11.071","","49.603","","1197.450","",""
7,"2003","5.381","","","","","","2.782","2.916","","20.722","","557.106","",""
7,"2004","5.381","","","","","","2.338","2.051","","1.774","","161.988","",""
7,"2005","5.381","","","","","13.884","1.627","2.539","","11.371","","1394.291","",""
7,"2006","5.381","","","","","","0.682","3.207","","5.655","","54.120","",""
7,"2007","5.381","","","","","0.983","0.932","1.764","","45.201","","66.266","",""
7,"2008","7.398","","","","","","1.473","3.348","","93.209","","68.883","",""
7,"2009","7.398","","","","","24.860","1.611","3.238","","159.293","","944.377","",""
7,"2010","8.071","","","","","72.563","4.558","9.607","","161.445","","4566.100","",""
7,"2011","7.398","","","","","138.632","5.323","13.929","","930.168","","4979.460","",""
7,"2012","4.035","","","","","3.895","3.294","1.585","","3413.046","","8479.935","",""
7,"2013","5.381","","","","","15.214","3.129","5.160","","567.162","","6164.596","",""
7,"2014","6.726","","","","","","1.797","2.814","","58.948","","2040.119","",""
7,"2015","6.726","","","","","1.183","2.247","1.676","","400.088","","1746.688","",""
7,"2016","6.726","","","","","109.068","6.261","12.629","","1129.873","","3247.972","",""
8,"2000","15.703","17.416","17.132","","","18.682","4.034","31.810","","35.803","","","",""
8,"2001","11.419","16.807","14.273","","","11.722","4.328","48.249","","37.475","","","",""
8,"2002","8.563","8.563","2.852","","","20.356","","24.063","","58.357","","","",""
8,"2003","11.419","14.273","14.273","","","34.497","","26.923","","26.511","","","",""
8,"2004","11.419","14.273","14.273","","","31.490","","7.140","","14.974","","","",""
8,"2005","11.419","17.416","17.132","","","74.509","","14.792","","16.269","","","",""
8,"2006","11.419","8.117","2.852","","","61.434","0.359","5.988","","13.283","","4.272","",""
8,"2007","11.419","11.304","8.563","","","15.617","","2.534","","8.645","","2.436","",""
8,"2008","15.703","15.703","15.703","","","66.767","5.640","8.832","","25.351","","","",""
8,"2009","15.703","16.807","14.273","","","44.762","","11.181","","18.288","","","",""
8,"2010","17.132","17.132","17.132","","","36.843","","34.534","","21.509","","4.613","",""
8,"2011","15.703","15.703","15.703","","","189.654","3.246","38.882","","102.642","","23.938","",""
8,"2012","8.563","14.273","14.273","","","111.208","","54.360","","109.842","","","",""
8,"2013","11.419","10.545","14.273","","","37.380","","21.876","","46.107","","0.462","",""
8,"2014","14.273","14.273","14.273","","","25.233","","12.701","","18.501","","","",""
8,"2015","14.273","14.273","14.273","","","52.820","6.312","20.359","","21.963","","","",""
8,"2016","14.273","14.273","14.273","","","44.486","0.258","16.010","","45.863","","","",""
