lrc_zone,yr,h1_ha,h2_ha,h3_ha,h4_ha,h5_ha,h6_ha,h7_ha,h8_ha,h9_ha,h10_ha,h11_ha,h12_ha,h13_ha,h14_ha,est_rivers,est_waterbodies
1,2000,1121.735,,,,,,1460.634,62.559,,,,0.396,,,1121.735,1523.589
1,2001,971.662,,,,,,1194.015,1.059,,,,,,,971.662,1195.074
1,2002,628.702,,,,,,1150.586,0.269,,0.635,,,,,628.702,1151.49
1,2003,880.196,,,,,,1141.992,3.614,,,,,,,880.196,1145.606
1,2004,925.239,,,,,,881.978,20.738,,12.931,,,,,925.239,915.647
1,2005,980.017,,,,,,798.882,,,12.241,,,,,980.017,811.123
1,2006,585.974,,,,,,942.701,27.181,,38.999,,0.95,,,585.974,1009.831
1,2007,770.458,,,,,,693.993,,,18.696,,0.062,,,770.458,712.751
1,2008,1052.676,,,,,,1103.15,4.321,,5.685,,,,,1052.676,1113.156
1,2009,929.848,,,,,,638.403,98.705,,5.861,,2.062,,,929.848,745.031
1,2010,1121.87,,,,,0.113,1149.557,99.018,,56.292,,39.669,,,1121.87,1344.649
1,2011,1110.618,,,,,,1205.487,67.038,,12.068,,,,,1110.618,1284.593
1,2012,1055.801,137.561,224.744,,,4.277,1209.227,108.375,,158.975,,44.561,,,1418.106,1525.415
1,2013,857.293,,,,,,1138.767,1.443,,34.018,,3.424,,,857.293,1177.652
1,2014,945.112,,,,,,2.885,3.866,,,,,,,945.112,6.751
1,2015,864.49,,,,,,154.402,34.985,,3.305,,,,,864.49,192.692
1,2016,862.213,252.06,187.197,,,6.538,988.442,182.586,,41.219,,37.252,,,1301.47,1256.037
2,2000,2517.178,340.734,78.02,,,12.974,102.174,310.829,,19.697,,119.856,,,2935.932,565.53
2,2001,2241.817,30.663,,,,13.446,92.114,39.698,,11.452,,24.599,,,2272.48,181.309
2,2002,1452.23,,,,,13.962,97.269,3.754,,4.02,,15.95,,,1452.23,134.955
2,2003,2001.339,,,,,18.006,92.279,13.171,,11.913,,11.051,,,2001.339,146.42
2,2004,2141.877,,,,,16.035,44.819,20.049,,7.766,,9.262,,,2141.877,97.931
2,2005,2268.554,12.325,,,,15.401,73.489,42.274,,4.43,,20.229,,,2280.879,155.823
2,2006,1372.124,,,,,11.339,58.845,3.03,,1.147,,10.774,,,1372.124,85.135
2,2007,1833.998,,,,,37.404,58.934,24.018,,1.459,,63.194,,,1833.998,185.009
2,2008,2469.189,,,,,52.964,67.654,33.779,,1.232,,10.692,,,2469.189,166.321
2,2009,2228.052,,,,,20.454,15.608,26.73,,2.486,,80.696,,,2228.052,145.974
2,2010,2524.546,217.815,101.461,,,87.868,79.118,294.474,,16.546,,82.116,,,2843.822,560.122
2,2011,2543.041,151.352,40.921,,,13.427,85.252,395.638,,11.698,,185.077,,,2735.314,691.092
2,2012,2316.146,233.5,306.652,,,44.781,92.648,2426.71,,124.444,,348.743,,,2856.298,3037.326
2,2013,1976.298,,,,,11.744,88.665,562.987,,33.201,,35.319,,,1976.298,731.916
2,2014,2189.534,,,,,,1.704,140.829,,3.376,,32.177,,,2189.534,178.086
2,2015,2242.791,23.816,34.086,,,5.582,6.193,18.426,,1.328,,18.23,,,2300.693,49.759
2,2016,2006.789,230.625,546.521,,,120.11,20.214,3456.501,,192.454,,397.65,,,2783.935,4186.929
3,2000,,,,,,,,,,,,918.635,,,0,918.635
3,2001,,,,,,,,,,,,981.586,,,0,981.586
3,2002,,,,,,,,,,,,982.072,,,0,982.072
3,2003,,,,,,,,,,,,918.461,,,0,918.461
3,2004,,,,,,,,,,,,757.988,,,0,757.988
3,2005,,,,,,,,,,,,664.424,,,0,664.424
3,2006,,,,,,,,,,,,873.914,,,0,873.914
3,2007,,,,,,,2.004,,,0.343,,585.223,,,0,587.57
3,2008,,,,,,,,,,6.678,,950.853,,,0,957.531
3,2009,,,,,,,,,,1.562,,482.411,,,0,483.973
3,2010,,,,,,,,,,,,621.213,,,0,621.213
3,2011,,,,,,,,,,,,854.652,,,0,854.652
3,2012,,,,,,,0.123,,,2.912,,1014.833,,,0,1017.868
3,2013,,,,,,,4.572,,,0.902,,1004.628,,,0,1010.102
3,2014,,,,,,,,,,,,993.05,,,0,993.05
3,2015,,,,,,,,,,6.455,,962.396,,,0,968.851
3,2016,,,,,,,,,,,,1055.777,,,0,1055.777
4,2000,1421.385,379.504,245.61,,,58.988,15.416,163.147,,17.218,,293.647,65.556,,2046.499,613.972
4,2001,1388.57,77.438,,,,14.539,2.186,23.697,,32.292,,366.052,54.569,,1466.008,493.335
4,2002,880.216,,,,,8.31,1.543,5.119,,21.71,,315.099,81.569,,880.216,433.35
4,2003,1038.44,,,,,15.852,5.809,18.01,,26.095,,4.195,463.751,,1038.44,533.712
4,2004,1086,,,,,9.886,7.289,17.753,,0.865,,,,,1086,35.793
4,2005,1186.924,,,,,15.077,4.667,34.938,,4.921,,5.364,33.81,,1186.924,98.777
4,2006,706.801,,,,,24.198,3.579,19.331,,7.212,,16.227,22.537,,706.801,93.084
4,2007,927.983,,,,,19.616,0.032,14.838,,3.337,,,,,927.983,37.823
4,2008,1190.73,,,,,9.464,6.012,18.264,,7.648,,6.385,,,1190.73,47.773
4,2009,1074.516,,,,,5.129,1.299,10.416,,6.057,,,,,1074.516,22.901
4,2010,1407.942,184.992,,,,136.453,34.324,149.125,,25.722,,104.295,,,1592.934,449.919
4,2011,1320.905,338.976,387.296,,,110.845,25.414,180.908,,77.4,,329.13,,,2047.177,723.697
4,2012,1153.646,489.55,239.599,,,205.237,87.142,796.096,,121.061,,369.406,147.344,,1882.795,1726.286
4,2013,1072.207,,,,,51.066,2.894,285.913,,37.073,,377.756,26.598,,1072.207,781.3
4,2014,1162.459,,,,,11.017,0.039,3.487,,1.936,,241.07,50.434,,1162.459,307.983
4,2015,1125.232,7.66,,,,13.165,,20.705,,32.104,,50.738,15.024,,1132.892,131.736
4,2016,828.713,257.494,769.796,,,117.286,11.368,191.738,,52.23,,266.5,41.318,,1856.003,680.44
5,2000,435.287,,,,,,,,,,,1722.362,,,435.287,1722.362
5,2001,377.106,,,,,,,,,,,1531.196,,,377.106,1531.196
5,2002,244.01,,,,,,,,,,,1370.647,,,244.01,1370.647
5,2003,320.279,,,,,,,,,,,809.52,,,320.279,809.52
5,2004,294.4,,,,,,,,,,,596.793,,,294.4,596.793
5,2005,383.382,,,,,,,,,,,872.726,,,383.382,872.726
5,2006,216.035,,,,,,,,,,,1131.654,,,216.035,1131.654
5,2007,304.384,,,,,,,,,,,676.374,,,304.384,676.374
5,2008,414.816,,,,,,,,,,,816.059,,,414.816,816.059
5,2009,322.449,,,,,,,,,,,439.329,,,322.449,439.329
5,2010,442.49,,,,,,,,,,,1055.214,,,442.49,1055.214
5,2011,430.977,,,,,,,,,,,2575.039,,,430.977,2575.039
5,2012,405.129,301.322,,,,,,,,,,2046.675,,,706.451,2046.675
5,2013,332.741,,,,,,,,,,,1948.246,,,332.741,1948.246
5,2014,328.916,,,,,,,,,,,1510.308,,,328.916,1510.308
5,2015,377.106,,,,,,,,,,,1539.183,,,377.106,1539.183
5,2016,377.106,,,,,,,,,,,1678.057,,,377.106,1678.057
6,2000,,,,,,,,,,4970.15,,,,,0,4970.15
6,2001,,,,,,,,,,3784.997,,,,,0,3784.997
6,2002,,,,,,,,,,890.581,,,,,0,890.581
6,2003,,,,,,,,0.13,,20.208,,,,,0,20.338
6,2004,,,,,,,,,,20.474,,,,,0,20.474
6,2005,,,,,,,,,,1575.488,,,,,0,1575.488
6,2006,,,,,,,,,,946.512,,,,,0,946.512
6,2007,,,,,,,,5.055,,105.686,,,,,0,110.741
6,2008,,,,,,,,5.033,,12.616,,,,,0,17.649
6,2009,,,,,,,,,,75.803,,,,,0,75.803
6,2010,,,,,,,,,,3507.056,,,,,0,3507.056
6,2011,,,,,,,,,,3533.762,,,,,0,3533.762
6,2012,,,,,,,,9.477,,4602.536,,,,,0,4612.013
6,2013,,,,,,,,,,3041.748,,,,,0,3041.748
6,2014,,,,,,,,,,30.32,,,,,0,30.32
6,2015,,,,,,,,,,55.207,,,,,0,55.207
6,2016,,,,,,,,,,4852.613,,,,,0,4852.613
7,2000,232.906,,,,,22.63,1.298,2.494,,,,8609.955,,,232.906,8636.377
7,2001,201.768,,,,,,,,,39.201,,5507.339,,,201.768,5546.54
7,2002,130.555,,,,,,,3.004,,1.763,,252.519,,,130.555,257.286
7,2003,182.778,,,,,6.98,4.218,19.775,,28.39,,1019.976,,,182.778,1079.339
7,2004,192.545,,,,,,3.549,4.436,,14.223,,76.999,,,192.545,99.207
7,2005,205.232,,,,,,2.052,3.196,,0.009,,1378.994,,,205.232,1384.251
7,2006,123.364,,,,,12.341,1.259,4.044,,17.052,,87.022,,,123.364,121.718
7,2007,164.873,,,,,0.874,1.369,1.555,,31.79,,81.33,,,164.873,116.918
7,2008,221.95,,,,,,0.932,1.439,,25.01,,23.575,,,221.95,50.956
7,2009,202.922,,,,,,1.899,2.976,,116.197,,94.535,,,202.922,215.607
7,2010,237.383,,,,,59.254,9.272,29.484,,88.448,,4241.693,,,237.383,4428.151
7,2011,230.6,,,,,63.875,6.276,42.459,,968.336,,8938.484,,,230.6,10019.43
7,2012,221.374,,,,,174.875,10.778,141.788,,3039.732,,10072.503,,,221.374,13439.676
7,2013,178.03,,,,,3.463,3.234,1.71,,2017.493,,9767.647,,,178.03,11793.547
7,2014,201.768,,,,,13.523,4.771,13.054,,40.178,,5829.658,,,201.768,5901.184
7,2015,201.768,,,,,,2.133,3.709,,28.03,,1601.527,,,201.768,1635.399
7,2016,201.768,,,,,100.078,13.806,125.589,,3266.706,,6000.952,,,201.768,9507.131
8,2000,922.805,,,,,240.176,0.734,114.07,,112.448,,,,,922.805,467.428
8,2001,799.307,,,,,17.101,4.304,144.108,,77.521,,,,,799.307,243.034
8,2002,517.176,,,,,19.023,4.598,113.433,,57.982,,,,,517.176,195.036
8,2003,692.392,,,,,38.892,,92.564,,64.465,,,,,692.392,195.921
8,2004,652.03,,,,,22.921,,30.022,,21.176,,,,,652.03,74.119
8,2005,733.128,,,,,109.56,,29.65,,36.353,,,,,733.128,175.563
8,2006,377.899,,,,,255.817,0.319,16.741,,12.226,,,,,377.899,285.103
8,2007,631.604,,,,,100.921,,9.26,,13.26,,4.272,,,631.604,127.713
8,2008,831.85,,,,,135.979,,30.504,,29.162,,2.436,,,831.85,198.081
8,2009,665.446,,,,,24.584,5.014,12.649,,3.584,,,,,665.446,45.831
8,2010,855.053,,,,,403.56,,48.511,,87.992,,4.82,,,855.053,544.883
8,2011,913.657,,,,,154.639,,109.352,,54.745,,,,,913.657,318.736
8,2012,858.604,646.129,,,,1521.541,2.03,387.592,,656.962,,19.183,,,1504.733,2587.308
8,2013,705.248,,,,,40.402,,140.293,,192.179,,0.41,,,705.248,373.284
8,2014,561.796,,,,,67.132,,21.885,,27.058,,,,,561.796,116.075
8,2015,676.254,,,,,12.769,5.611,13.901,,29.807,,,,,676.254,62.088
8,2016,540.226,319.723,665.876,,,283.583,0.258,174.802,,224.576,,,,,1525.825,683.219
