ddate,avg_est_watertemp
1993-01-01,25.8
1993-02-01,25.06
1993-03-01,21.06
1993-04-01,18.82
1993-05-01,13.53
1993-06-01,9.76
1993-07-01,10.79
1993-08-01,11.53
1993-09-01,13.48
1993-10-01,15.38
1993-11-01,20.49
1993-12-01,21.91
1994-01-01,24.89
1994-02-01,24.96
1994-03-01,19.5
1994-04-01,17.18
1994-05-01,13.41
1994-06-01,11.39
1994-07-01,9.37
1994-08-01,9.63
1994-09-01,12.94
1994-10-01,17.46
1994-11-01,21.08
1994-12-01,25.84
1995-01-01,24.28
1995-02-01,24.44
1995-03-01,20.68
1995-04-01,14.82
1995-05-01,13.38
1995-06-01,10.23
1995-07-01,8.32
1995-08-01,11.89
1995-09-01,13.49
1995-10-01,17.5
1995-11-01,20.89
1995-12-01,22.3
1996-01-01,25.21
1996-02-01,22.5
1996-03-01,21.85
1996-04-01,15.96
1996-05-01,13.67
1996-06-01,11.0
1996-07-01,9.21
1996-08-01,10.13
1996-09-01,13.02
1996-10-01,17.44
1996-11-01,18.97
1996-12-01,23.12
1997-01-01,24.8
1997-02-01,27.74
1997-03-01,21.23
1997-04-01,17.22
1997-05-01,14.17
1997-06-01,9.82
1997-07-01,8.17
1997-08-01,9.68
1997-09-01,12.92
1997-10-01,17.2
1997-11-01,22.99
1997-12-01,25.16
1998-01-01,25.57
1998-02-01,24.76
1998-03-01,23.27
1998-04-01,16.92
1998-05-01,12.87
1998-06-01,9.85
1998-07-01,8.07
1998-08-01,11.29
1998-09-01,14.0
1998-10-01,15.56
1998-11-01,19.42
1998-12-01,24.44
1999-01-01,27.86
1999-02-01,24.04
1999-03-01,21.73
1999-04-01,15.55
1999-05-01,13.85
1999-06-01,10.23
1999-07-01,9.92
1999-08-01,10.58
1999-09-01,15.36
1999-10-01,17.34
1999-11-01,17.89
1999-12-01,21.54
2000-01-01,22.52
2000-02-01,25.63
2000-03-01,22.44
2000-04-01,17.08
2000-05-01,12.11
2000-06-01,9.21
2000-07-01,8.92
2000-08-01,9.7
2000-09-01,14.89
2000-10-01,16.49
2000-11-01,21.62
2000-12-01,24.4
2001-01-01,28.39
2001-02-01,26.43
2001-03-01,20.97
2001-04-01,17.65
2001-05-01,12.6
2001-06-01,10.55
2001-07-01,9.35
2001-08-01,10.54
2001-09-01,14.99
2001-10-01,15.61
2001-11-01,20.03
2001-12-01,22.44
2002-01-01,24.82
2002-02-01,23.15
2002-03-01,22.04
2002-04-01,19.55
2002-05-01,13.01
2002-06-01,10.56
2002-07-01,10.12
2002-08-01,11.47
2002-09-01,15.14
2002-10-01,18.03
2002-11-01,23.53
2002-12-01,24.72
2003-01-01,27.24
2003-02-01,26.47
2003-03-01,20.84
2003-04-01,18.05
2003-05-01,13.9
2003-06-01,11.27
2003-07-01,10.16
2003-08-01,10.19
2003-09-01,13.44
2003-10-01,15.28
2003-11-01,21.26
2003-12-01,25.38
2004-01-01,25.19
2004-02-01,27.41
2004-03-01,22.3
2004-04-01,18.41
2004-05-01,11.96
2004-06-01,10.33
2004-07-01,8.82
2004-08-01,10.94
2004-09-01,13.35
2004-10-01,18.24
2004-11-01,20.94
2004-12-01,23.35
2005-01-01,26.44
2005-02-01,23.63
2005-03-01,21.59
2005-04-01,21.14
2005-05-01,13.97
2005-06-01,11.77
2005-07-01,10.2
2005-08-01,10.28
2005-09-01,12.85
2005-10-01,17.16
2005-11-01,21.72
2005-12-01,24.65
2006-01-01,29.15
2006-02-01,26.32
2006-03-01,23.2
2006-04-01,15.29
2006-05-01,11.39
2006-06-01,8.7
2006-07-01,9.41
2006-08-01,10.45
2006-09-01,14.66
2006-10-01,18.86
2006-11-01,22.28
2006-12-01,24.15
2007-01-01,26.05
2007-02-01,26.68
2007-03-01,23.24
2007-04-01,18.38
2007-05-01,15.22
2007-06-01,8.89
2007-07-01,8.69
2007-08-01,12.46
2007-09-01,14.27
2007-10-01,18.9
2007-11-01,22.42
2007-12-01,23.79
2008-01-01,26.92
2008-02-01,22.3
2008-03-01,22.71
2008-04-01,16.27
2008-05-01,13.57
2008-06-01,11.92
2008-07-01,9.46
2008-08-01,9.5
2008-09-01,14.95
2008-10-01,19.79
2008-11-01,20.75
2008-12-01,23.1
2009-01-01,27.45
2009-02-01,26.01
2009-03-01,22.41
2009-04-01,17.48
2009-05-01,13.8
2009-06-01,10.99
2009-07-01,9.93
2009-08-01,12.52
2009-09-01,14.81
2009-10-01,17.74
2009-11-01,25.81
2009-12-01,24.4
2010-01-01,26.97
2010-02-01,24.7
2010-03-01,21.76
2010-04-01,18.56
2010-05-01,13.36
2010-06-01,10.69
2010-07-01,8.87
2010-08-01,9.25
2010-09-01,12.23
2010-10-01,16.32
2010-11-01,20.13
2010-12-01,22.04
2011-01-01,26.45
2011-02-01,24.71
2011-03-01,21.01
2011-04-01,15.84
2011-05-01,11.43
2011-06-01,10.07
2011-07-01,9.53
2011-08-01,12.29
2011-09-01,14.13
2011-10-01,17.54
2011-11-01,21.4
2011-12-01,21.98
2012-01-01,24.6
2012-02-01,22.79
2012-03-01,19.91
2012-04-01,16.92
2012-05-01,12.14
2012-06-01,9.95
2012-07-01,9.12
2012-08-01,10.09
2012-09-01,13.52
2012-10-01,17.63
2012-11-01,22.6
2012-12-01,24.38
2013-01-01,28.05
2013-02-01,26.17
2013-03-01,22.47
2013-04-01,18.02
2013-05-01,13.46
2013-06-01,10.94
2013-07-01,10.51
2013-08-01,11.62
2013-09-01,15.67
2013-10-01,17.35
2013-11-01,20.25
2013-12-01,24.46
